chicken,eggs,ground_beef,milk,month,year
1.502,1.831,3.728,2.903,Mar,2018
1.511,2.081,3.775,2.924,Apr,2018
1.523,1.987,3.688,2.919,May,2018
1.514,1.628,3.824,2.877,June,2018
1.519,1.725,3.786,2.839,July,2018
1.511,1.622,3.738,2.871,Aug,2018
1.487,1.651,3.701,2.890,Sept,2018
1.444,1.660,3.692,2.913,Oct,2018
1.501,1.596,3.745,2.877,Nov,2018
1.466,1.595,3.709,2.853,Dec,2018
1.473,1.554,3.727,2.913,Jan,2019
1.486,1.557,3.847,2.900,Feb,2019
1.468,1.544,3.831,2.944,Mar,2019
1.463,1.463,3.907,2.980,Apr,2019
1.479,1.362,4.023,2.963,May,2019
1.590,1.203,3.951,3.054,June,2019
1.562,1.243,4.001,3.031,July,2019
1.514,1.219,4.019,3.045,Aug,2019
1.487,1.383,3.885,3.102,Sept,2019
1.538,1.282,4.027,3.119,Oct,2019
1.430,1.405,3.993,3.189,Nov,2019
1.450,1.535,4.066,3.188,Dec,2019
1.409,1.461,4.100,3.253,Jan,2020
1.362,1.449,4.033,3.196,Feb,2020
1.400,1.525,4.108,3.248,Mar,2020
1.571,2.019,4.343,3.267,Apr,2020
 ,1.640,4.789,3.210,May,2020
1.747,1.554,5.330,3.198,June,2020
1.712,1.401,4.732,3.255,July,2020
1.609,1.328,4.307,3.406,Aug,2020
1.542,1.353,4.165,3.448,Sept,2020
1.580,1.408,4.212,3.380,Oct,2020
1.639,1.450,4.330,3.425,Nov,2020
1.621,1.481,4.202,3.535,Dec,2020
1.595,1.466,4.310,3.468,Jan,2021
1.583,1.597,4.252,3.368,Feb,2021
1.543,1.625,4.377,3.348,Mar,2021
1.515,1.620,4.290,3.447,Apr,2021
1.486,1.625,4.495,3.497,May,2021
1.474,1.642,4.565,3.557,June,2021
1.435,1.642,4.521,3.627,July,2021
1.472,1.709,4.636,3.560,Aug,2021
1.504,1.835,4.786,3.585,Sept,2021
1.523,1.821,4.869,3.663,Oct,2021
1.583,1.718,4.810,3.671,Nov,2021
1.606,1.788,4.792,3.743,Dec,2021
1.622,1.929,4.765,3.787,Jan,2022
1.632,2.005,4.627,3.875,Feb,2022
1.724,2.046,4.870,3.917,Mar,2022
1.794,2.520,4.945,4.012,Apr,2022
1.824,2.863,4.894,4.204,May,2022
1.826,2.707,4.997,4.153,June,2022
1.880,2.936,5.075,4.156,July,2022
1.879,3.116,5.120,4.194,Aug,2022
1.891,2.902,4.890,4.181,Sept,2022
1.863,3.419,4.789,4.184,Oct,2022
1.843,3.589,4.728,4.218,Nov,2022
1.830,4.250,4.758,4.211,Dec,2022
1.855,4.823,4.644,4.204,Jan,2023
1.894,4.211,4.777,4.163,Feb,2023
1.868,3.446,4.753,4.098,Mar,2023
1.873,3.270,4.747,4.042,Apr,2023
1.920,2.666,4.953,4.042,May,2023
1.953,2.219,5.106,3.985,June,2023
1.891,2.094,5.253,3.971,July,2023
1.958,2.043,5.259,3.927,Aug,2023
1.901,2.065,5.185,3.965,Sept,2023
1.926,2.072,5.349,3.927,Oct,2023
1.976,2.138,5.201,3.997,Nov,2023
1.955,2.507,5.118,4.008,Dec,2023
1.987,2.522,5.093,3.958,Jan,2024
1.951,2.996,5.213,3.940,Feb,2024
1.991,2.992,5.421,3.893,Mar,2024
1.953,2.864,5.277,3.868,Apr,2024
2.013,2.699,5.331,3.864,May,2024
2.007,2.715,5.364,3.956,June,2024
1.988,3.080,5.470,3.983,July,2024
1.988,3.204,5.638,4.044,Aug,2024
1.979,3.821,5.576,4.021,Sept,2024
1.987,3.370,5.586,4.041,Oct,2024
